episode,reward,success,avg_damping_ratio,avg_oscillation_freq,freq_deviation,voltage_deviation,control_cost,weight_idx,critic_loss,actor_loss,buffer_size
26,-9.038650670636866,1,0.1249637164465386,4.851066986910532,0.0016106367111206055,0.04420787841081619,0.8001935011094622,2,0.35246272504861864,-0.09627722935900758,588
27,-30.824377483593626,1,0.12376600896407204,4.8184998873712965,0.0019573750905692577,0.044844500720500946,0.8937882867805694,2,0.39603718290371553,-0.10599530896537804,616
28,-10.0,0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,616
29,18.754963265583005,1,0.12871887671146895,4.856442165047222,0.0019944135565310717,0.04472413659095764,0.9021446996887919,2,0.38858560738818987,-0.1147056611620688,644
30,18.174765835759565,1,0.1271659613322833,4.799744759075478,0.001640220871195197,0.04358741268515587,0.9626490282620228,2,0.408810912498406,-0.14100194213512754,672
31,-8.14064173679245,1,0.12964461717243572,4.8514354658602326,0.0013965921243652701,0.04296111315488815,0.9765676329654162,3,0.4015606152159827,-0.17374395559142744,700
32,-12.003199136523145,1,0.12284244409695885,4.783557248159789,0.0013732947409152985,0.043909914791584015,0.9782460881745773,3,0.4201413889282516,-0.18606262856961361,728
33,21.555467426721965,1,0.12430050533778036,4.842908956258141,0.0014448267174884677,0.044299330562353134,0.9558710442175574,3,0.4223905811086297,-0.2049712301148767,756
34,1.684595288201514,1,0.12511175410852318,4.843279901924776,0.001377266482450068,0.04287487268447876,0.9400219703394894,3,0.4193894727421658,-0.22217626251845754,784
35,-7.2549388270565025,1,0.12988282067615486,4.854895720135888,0.0013625217834487557,0.043646395206451416,0.9779801762689023,3,0.4130199345360909,-0.22944693502670685,812
36,-13.174807750884,1,0.1254042098034916,4.847470399767235,0.0013864135835319757,0.041995786130428314,0.9865888272996174,3,0.4149616054658379,-0.24335309796567475,840
37,14.416294491406983,1,0.12785772065803505,4.8508270182521995,0.0014908872544765472,0.04388970881700516,0.9844665558511624,3,0.4206814475889717,-0.2617390500381589,868
38,13.063266879054337,1,0.1296308662188959,4.853723772543812,0.0013388347579166293,0.04413474351167679,0.9741070774948895,3,0.4206876942355718,-0.2641169278483306,896
39,-10.0,0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,896
40,64.65678560339983,1,0.1406814737509657,4.874224721515278,0.0013292947551235557,0.04439542442560196,0.9325253185575784,3,0.41801000200212,-0.28173500006752356,924
41,-5.751731512823881,1,0.1435930540528956,4.873907210261977,0.0010629238095134497,0.04464700445532799,0.9228924552446551,4,0.44374310557863544,-0.2788745605918978,952
42,32.06400251965872,1,0.14190320109636292,4.874049831763467,0.0007070856518112123,0.04524815082550049,0.8632946893522984,4,0.43861130718141794,-0.31737510460828033,980
43,-8.301612107844381,1,0.1307675109098644,4.857294279969392,0.0002706343657337129,0.04610603302717209,0.846105772023793,4,0.4493259944553886,-0.35017895991248743,1008
