episode,reward,success,avg_damping_ratio,avg_oscillation_freq,freq_deviation,voltage_deviation,control_cost,weight_idx,critic_loss,actor_loss,buffer_size
21,29.184252082032437,1,0.1331629171305175,4.865050264794391,0.0010101890657097101,0.044866420328617096,0.9054281111174426,2,0.5429653502734644,-0.1470980588596181,476
22,-10.0,0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,476
23,-8.367306063012764,1,0.13113147074337186,4.77604861250951,0.0002741898933891207,0.042143236845731735,0.8970575775616864,2,0.5583933452144265,-0.19800294702872634,504
24,-10.0,0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,504
25,-18.113058630308633,1,0.13259505512017053,4.806645882518173,0.0007403455674648285,0.044052962213754654,0.9399015098377025,2,0.6030278871101993,-0.2207244343257376,532
26,-5.504853644021577,1,0.13195029710980097,4.82336598946013,0.001358860288746655,0.045407723635435104,0.9269192180426418,2,0.6531997751444578,-0.2231457231433264,560
27,-52.718596260628345,1,0.1297412481541012,4.797618896917593,0.0020554240327328444,0.04846356436610222,0.9162187513345936,2,0.6659188355718341,-0.2675838145826544,588
28,-10.0,0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,588
29,-28.08428758505934,1,0.13575943689391018,4.863221456669273,0.002442761790007353,0.05001382902264595,0.973973483528554,2,0.6602780103151288,-0.3134606709437711,616
30,-12.267000980477563,1,0.13274777711968788,4.862477329764421,0.002402186393737793,0.04977772757411003,0.9655556824388422,2,0.6749934226806674,-0.34814052124108585,644
31,46.95121755477576,1,0.147066053206914,4.85471469124851,0.0020030257292091846,0.04920269921422005,0.915476902470172,3,0.6786485678915467,-0.37720536227737156,672
32,-10.0,0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,673
33,8.018320691005524,1,0.14613288167884356,4.882958852500102,0.0012045045150443912,0.05133000388741493,0.8868138534814181,3,0.6803529885198388,-0.42310596337275846,701
34,4.121323029820015,1,0.12634919420766694,4.8580181331989065,0.00039542626473121345,0.050595831125974655,0.9005550698299292,3,0.6889635500098977,-0.4737243897148541,729
35,-20.837011578958762,1,0.12575270527862606,4.711794545662717,0.00020175054669380188,0.05061960592865944,0.8946592551110079,3,0.6880028931690114,-0.5050614574658019,757
36,48.57965341800354,1,0.12466190576122131,4.694350971398421,0.00026686754426918924,0.048915326595306396,0.8502815228456615,3,0.693645401458655,-0.5255490344549928,785
37,-5.153619806832898,1,0.12248708435398183,4.743424030252713,0.00010949905117740855,0.05043140798807144,0.8464117623388722,3,0.7095002422907523,-0.5335611456206867,813
38,-56.27579949315397,1,0.1217459291227474,4.790294912360174,0.0002087046013912186,0.05156603083014488,0.9190083384691148,3,0.70263726344066,-0.5421387271157333,841
39,3.2387812420980167,1,0.12131756079063223,4.76398391545944,0.0003244717081543058,0.052231673151254654,0.9461673969222701,3,0.7146385543580566,-0.5375895574688911,869
40,39.44733035047901,1,0.12887241641179129,4.833701507257733,0.00033987738424912095,0.05053680017590523,0.8588538786862606,3,0.733651776132839,-0.5195668281189033,897
41,9.200778320375704,1,0.12580073966571947,4.825141279417227,0.00017596887482795864,0.045869987457990646,0.8628243737289422,4,0.7152692688895124,-0.623348421816315,925
42,3.739365833553351,1,0.12365645520220703,4.796051195773735,0.00012236034672241658,0.04502062126994133,0.9070706912839908,4,0.7263970116951636,-0.6406642773321697,953
43,31.2405471556064,1,0.12725689390452774,4.802687578741738,0.00018865933816414326,0.04493388161063194,0.9045737071492111,4,0.7647416006241526,-0.6680800877511501,981
